split,method,r2_mean,r2_std,rmse_mean,rmse_std,n
random,ChemSMD+EnsRP+TabICL,0.5337227846072481,0.04944625606054788,0.9808745695090412,0.05614948637073699,25
random,ChemSMD+PCA+TabICL,0.5304274598734934,0.05949560867511564,0.9837224620056602,0.06360554432771459,25
random,ECFP4-GBDT,0.47714799916914913,0.0628371345518241,1.0380915806922053,0.06371078006062804,25
random,MACCS-GBDT,0.45740858780212434,0.06420689184745643,1.0569749320956043,0.0527725522498344,25
random,ECFP6-GBDT,0.4426395431945337,0.06825955529765837,1.0714068875006506,0.06144008903054329,25
random,ECFP4-RF,0.4390992900255627,0.04302733992781509,1.0767051336199946,0.053339958463712214,25
scaffold,ECFP4-GBDT,0.2921271943522484,0.2071967326310009,1.1654954781476885,0.08922214056566656,25
scaffold,ChemSMD+EnsRP+TabICL,0.2824912928656709,0.2677688723626519,1.1640480160673836,0.10855614899952255,25
scaffold,ECFP6-GBDT,0.26158122059743155,0.20011198199350985,1.1919245435066985,0.06987734393394061,25
scaffold,ECFP4-RF,0.26063355539363997,0.14813461656856572,1.2021602693517273,0.0976596799747889,25
scaffold,ChemSMD+PCA+TabICL,0.24087216815173462,0.28206335610308714,1.1982174682546065,0.11977820909130389,25
scaffold,MACCS-GBDT,0.2229746041317802,0.1975590836371407,1.2269111460487427,0.1221385286848151,25
