split,seed,fold,method,r2,rmse,time_s
random,3,3,ECFP4-GBDT,0.4924971892484863,1.1471086456373412,0.6210298538208008
random,3,3,ECFP6-GBDT,0.5180429674064164,1.1178653501281588,0.6300668716430664
random,3,3,MACCS-GBDT,0.5369685792102472,1.0956973043412965,0.5083651542663574
random,3,3,ECFP4-RF,0.46786789324975775,1.1746137139021469,0.4087100028991699
random,3,3,ChemSMD+PCA+TabICL,0.5564181567853184,1.0724380437921937,1.8025550842285156
random,3,3,ChemSMD+EnsRP+TabICL,0.5533127749833959,1.0761854444364853,8.786827802658081
random,3,4,Predict-train-mean,,,6.198883056640625e-06
random,3,4,1-NN ECFP4,-0.5004622347123886,1.6092372205700038,0.0043070316314697266
random,3,4,ECFP4-GBDT,0.4316886602094362,0.9903772615953146,0.6011037826538086
random,3,4,ECFP6-GBDT,0.4410159990107012,0.9822164817561281,0.5950009822845459
random,3,4,MACCS-GBDT,0.4741540729141327,0.9526574285574053,0.5092360973358154
random,3,4,ECFP4-RF,0.45319177108643816,0.9714602442542803,0.40433502197265625
random,3,4,ChemSMD+PCA+TabICL,0.5829063540290786,0.8484461747036895,1.7592241764068604
random,3,4,ChemSMD+EnsRP+TabICL,0.5743449038369526,0.8571097950860012,8.758969068527222
random,4,0,Predict-train-mean,,,3.814697265625e-06
random,4,0,1-NN ECFP4,-0.4983080675736591,1.6895823170211626,0.005269050598144531
random,4,0,ECFP4-GBDT,0.3937925872425351,1.074705367409832,0.6138951778411865
random,4,0,ECFP6-GBDT,0.37025822029866107,1.095367978768383,0.6371710300445557
random,4,0,MACCS-GBDT,0.4527773430415718,1.0210825492635665,0.5163767337799072
random,4,0,ECFP4-RF,0.4305133183594245,1.0416470444294166,0.4091970920562744
random,4,0,ChemSMD+PCA+TabICL,0.510182756887174,0.9660416244420172,1.7283058166503906
random,4,0,ChemSMD+EnsRP+TabICL,0.5161598708430415,0.9601293127069607,8.752604007720947
random,4,1,Predict-train-mean,,,8.106231689453125e-06
random,4,1,1-NN ECFP4,-0.24150770052184667,1.6019864149339134,0.0041921138763427734
random,4,1,ECFP4-GBDT,0.5370734159651729,0.9782281936956428,0.6248178482055664
random,4,1,ECFP6-GBDT,0.48577735922386966,1.031002535172166,0.7031729221343994
random,4,1,MACCS-GBDT,0.43179150304833014,1.0837721608326005,0.5165371894836426
random,4,1,ECFP4-RF,0.4818399677867856,1.0349421681709357,0.4031407833099365
random,4,1,ChemSMD+PCA+TabICL,0.5633457745806986,0.9500642315582964,1.813115119934082
random,4,1,ChemSMD+EnsRP+TabICL,0.5612657278698565,0.9523244215871309,8.867901086807251
random,4,2,Predict-train-mean,,,1.2874603271484375e-05
random,4,2,1-NN ECFP4,-0.3022184296147987,1.693439626937012,0.004225015640258789
random,4,2,ECFP4-GBDT,0.5433571330141171,1.002804221799353,0.6107370853424072
random,4,2,ECFP6-GBDT,0.5477611423937245,0.997956870960821,0.6132988929748535
random,4,2,MACCS-GBDT,0.5441622303241231,1.0019198109105925,0.5224180221557617
random,4,2,ECFP4-RF,0.4928667762334744,1.0567903461340162,0.4109928607940674
random,4,2,ChemSMD+PCA+TabICL,0.6110366405779644,0.9255121862164617,1.7672700881958008
random,4,2,ChemSMD+EnsRP+TabICL,0.5948725310408045,0.9445471699953001,8.758712768554688
random,4,3,Predict-train-mean,,,4.0531158447265625e-06
random,4,3,1-NN ECFP4,-0.07383405813892874,1.527303865892489,0.003629922866821289
random,4,3,ECFP4-GBDT,0.5518924541703496,0.9866157036960402,0.6076552867889404
random,4,3,ECFP6-GBDT,0.5077941247141721,1.0340231974266667,0.5991380214691162
random,4,3,MACCS-GBDT,0.49279125066755913,1.0496638713697288,0.5159611701965332
random,4,3,ECFP4-RF,0.42911159167261925,1.113608382859936,0.4088249206542969
random,4,3,ChemSMD+PCA+TabICL,0.4788079875202057,1.0640345879253421,1.7582521438598633
random,4,3,ChemSMD+EnsRP+TabICL,0.49592411592819496,1.0464170792412184,8.742339134216309
random,4,4,Predict-train-mean,,,5.0067901611328125e-06
random,4,4,1-NN ECFP4,-0.09586711830222283,1.5104075815212576,0.0038819313049316406
random,4,4,ECFP4-GBDT,0.5085533970413969,1.011470926339315,0.5907468795776367
random,4,4,ECFP6-GBDT,0.45158845683160864,1.0684852316750182,0.5913419723510742
random,4,4,MACCS-GBDT,0.44073658368478896,1.0790049513985176,0.5009028911590576
random,4,4,ECFP4-RF,0.44432781497503426,1.0755350182942294,0.4059178829193115
random,4,4,ChemSMD+PCA+TabICL,0.5765477786835609,0.938895839430935,1.7858028411865234
random,4,4,ChemSMD+EnsRP+TabICL,0.5606322777054942,0.9563774522603598,8.764892816543579
scaffold,0,0,Predict-train-mean,,,6.9141387939453125e-06
scaffold,0,0,1-NN ECFP4,-2.1810426965248224,2.058053048802331,0.0039632320404052734
scaffold,0,0,ECFP4-GBDT,-0.02661048775491026,1.1691618984031829,0.599268913269043
scaffold,0,0,ECFP6-GBDT,-0.08928476043695954,1.204321724347304,0.6157093048095703
scaffold,0,0,MACCS-GBDT,-0.06385108422876895,1.190178911239515,0.5169990062713623
scaffold,0,0,ECFP4-RF,-0.005642624986093692,1.1571606300693176,0.4189341068267822
scaffold,0,0,ChemSMD+PCA+TabICL,-0.3148481930637599,1.3231516451668675,1.7477009296417236
scaffold,0,0,ChemSMD+EnsRP+TabICL,-0.23627434045207307,1.283007602514516,8.712416648864746
scaffold,0,1,Predict-train-mean,,,5.0067901611328125e-06
scaffold,0,1,1-NN ECFP4,-0.6727024933179258,2.11141654225567,0.0042150020599365234
scaffold,0,1,ECFP4-GBDT,0.37074396375313723,1.2950253452486657,0.5933511257171631
scaffold,0,1,ECFP6-GBDT,0.4596918024094493,1.200011299000633,0.5901250839233398
scaffold,0,1,MACCS-GBDT,0.1265142121075543,1.5257819500446423,0.5018620491027832
scaffold,0,1,ECFP4-RF,0.2848419700421534,1.3805927058179097,0.3980681896209717
scaffold,0,1,ChemSMD+PCA+TabICL,0.25216533156321197,1.4117811568145515,1.7511050701141357
scaffold,0,1,ChemSMD+EnsRP+TabICL,0.35293340985713006,1.3132247286314322,8.76305890083313
scaffold,0,2,Predict-train-mean,,,8.821487426757812e-06
scaffold,0,2,1-NN ECFP4,-0.29516547873664756,1.5991382394118996,0.004892110824584961
scaffold,0,2,ECFP4-GBDT,0.43092488565331755,1.0600055697132829,0.6829547882080078
scaffold,0,2,ECFP6-GBDT,0.3388814603378093,1.1425179229265394,0.6348962783813477
scaffold,0,2,MACCS-GBDT,0.25451463265236474,1.213229367042792,0.5227508544921875
scaffold,0,2,ECFP4-RF,0.3568632048366873,1.1268731936979202,0.41088104248046875
scaffold,0,2,ChemSMD+PCA+TabICL,0.48864803568701576,1.0048086066692912,1.7916369438171387
scaffold,0,2,ChemSMD+EnsRP+TabICL,0.49759857870344426,0.9959758613985821,8.780107021331787
scaffold,0,3,Predict-train-mean,,,5.0067901611328125e-06
scaffold,0,3,1-NN ECFP4,-0.34284482255178217,1.6025190520679,0.003147125244140625
scaffold,0,3,ECFP4-GBDT,0.4013244952776258,1.0700054981411293,0.6077780723571777
scaffold,0,3,ECFP6-GBDT,0.30992283414058763,1.1487859080682936,0.6013741493225098
scaffold,0,3,MACCS-GBDT,0.3174138221964069,1.1425336780217108,0.4994239807128906
scaffold,0,3,ECFP4-RF,0.36053914896098327,1.1058526128435509,0.4088890552520752
scaffold,0,3,ChemSMD+PCA+TabICL,0.44232050082190444,1.032720038218319,1.7460522651672363
scaffold,0,3,ChemSMD+EnsRP+TabICL,0.41926892931977844,1.053847536525751,8.844377040863037
scaffold,0,4,Predict-train-mean,,,4.0531158447265625e-06
scaffold,0,4,1-NN ECFP4,-0.3123279111643058,1.7349524009397523,0.0036780834197998047
scaffold,0,4,ECFP4-GBDT,0.46244479195309285,1.1103961167333567,0.6269569396972656
scaffold,0,4,ECFP6-GBDT,0.39118935086594653,1.1817007506655546,0.6669881343841553
scaffold,0,4,MACCS-GBDT,0.5081085381618918,1.0621871487649739,0.5500459671020508
scaffold,0,4,ECFP4-RF,0.3638161794521504,1.2079743542433188,0.431840181350708
scaffold,0,4,ChemSMD+PCA+TabICL,0.4277809937312924,1.1456384088425577,1.8061959743499756
scaffold,0,4,ChemSMD+EnsRP+TabICL,0.46848981000710455,1.104135092997622,8.98338508605957
scaffold,1,0,Predict-train-mean,,,6.198883056640625e-06
scaffold,1,0,1-NN ECFP4,-2.1810426965248224,2.058053048802331,0.004960060119628906
scaffold,1,0,ECFP4-GBDT,-0.026789937993302315,1.1692641611340755,0.6583092212677002
scaffold,1,0,ECFP6-GBDT,-0.14214736928837768,1.2331982085377973,0.6433629989624023
scaffold,1,0,MACCS-GBDT,-0.09507805610548625,1.2075200248621616,0.5183687210083008
scaffold,1,0,ECFP4-RF,0.005266766713946991,1.150866971733979,0.4078211784362793
scaffold,1,0,ChemSMD+PCA+TabICL,-0.31242244303924105,1.3219305202647413,1.7535831928253174
scaffold,1,0,ChemSMD+EnsRP+TabICL,-0.23985190357502506,1.2848627282825917,8.73418116569519
scaffold,1,1,Predict-train-mean,,,4.0531158447265625e-06
