Model,R2,RMSE,MAE,time_s
ECFP4-GBDT (paper best HP),0.9502831829335909,0.4008072151265139,0.15854232013225555,1.7808148860931396
ECFP6-GBDT (paper HP),0.9370776243759014,0.45090643600617597,0.16299495100975037,1.7492032051086426
MACCS-GBDT (paper HP),0.9351862751163906,0.45763303800086597,0.18000049889087677,1.7643709182739258
1-NN ECFP4 (leakage probe),0.9140756776593618,0.5269166700508053,0.1702607423067093,0.12638092041015625
ChemSMD + EnsembleRP + TabICL-MLX,0.9103999461637564,0.5380690445645404,0.2792462110519409,8.778448104858398
ChemSMD + PCA(128) + TabICL-MLX,0.896637837082872,0.5779159270953136,0.33410167694091797,1.971782922744751
Baseline: predict train mean,-0.06428662678289254,1.8544415973755501,1.4744205474853516,
