benchmark,n_train,n_test,weight,pca_dim,model,overall_rmse,cliff_rmse,noncliff_rmse,time_s
CHEMBL1862_Ki,633,161,v3,64,TabPFN-MLX,0.7601230045587877,0.789317930065896,0.738609846346042,2.8758420944213867
CHEMBL1862_Ki,633,161,v3,96,TabPFN-MLX,0.7314581876265872,0.7555241198599519,0.7138096985845068,3.276638984680176
CHEMBL1862_Ki,633,161,v3,128,TabPFN-MLX,0.7293686359981038,0.753000812659262,0.7120458326589707,4.175343036651611
CHEMBL1862_Ki,633,161,v3,160,TabPFN-MLX,0.729678006488217,0.7655191153663055,0.7030172053465947,4.922761917114258
CHEMBL1862_Ki,633,161,v3,192,TabPFN-MLX,0.7190318177071048,0.7558596904270982,0.6915861208295266,5.605367183685303
CHEMBL1862_Ki,633,161,v4,64,TabPFN-MLX,0.7501008442792475,0.781068208524483,0.7272238234040996,2.416640043258667
CHEMBL1862_Ki,633,161,v4,96,TabPFN-MLX,0.7198180680095632,0.7401430179314301,0.7049735882052505,3.2626030445098877
CHEMBL1862_Ki,633,161,v4,128,TabPFN-MLX,0.7077303638759364,0.7293795456536256,0.6918861964766266,4.108425855636597
CHEMBL1862_Ki,633,161,v4,160,TabPFN-MLX,0.7003942869295979,0.7400603479831367,0.6706912235721509,4.888347148895264
CHEMBL1862_Ki,633,161,v4,192,TabPFN-MLX,0.699043124002438,0.7284498415130185,0.6773040680662751,5.696131944656372
CHEMBL1862_Ki,633,161,v5,64,TabPFN-MLX,0.7635728230349582,0.7713031797452569,0.7580147306248934,2.413464069366455
CHEMBL1862_Ki,633,161,v5,96,TabPFN-MLX,0.736423354732298,0.7442317316147268,0.7308069354052377,3.2484371662139893
CHEMBL1862_Ki,633,161,v5,128,TabPFN-MLX,0.7133296503064036,0.7350187118250396,0.697458854849512,4.090314149856567
CHEMBL1862_Ki,633,161,v5,160,TabPFN-MLX,0.7060266386293576,0.7344232502771395,0.6850684254294944,4.844617128372192
CHEMBL1862_Ki,633,161,v5,192,TabPFN-MLX,0.7043730785001797,0.7254680881829975,0.688943063674218,5.678110122680664
CHEMBL1862_Ki,633,161,v6,64,TabPFN-MLX,0.7566985762445488,0.7879365119943017,0.7336217385377337,2.4779441356658936
CHEMBL1862_Ki,633,161,v6,96,TabPFN-MLX,0.7208718203227598,0.7364268350587333,0.7095766142300983,3.259320020675659
CHEMBL1862_Ki,633,161,v6,128,TabPFN-MLX,0.7015481220972509,0.7237981486405124,0.685248154986687,4.160392999649048
CHEMBL1862_Ki,633,161,v6,160,TabPFN-MLX,0.706532212645429,0.7418508870577614,0.6802398366677076,4.9083027839660645
CHEMBL1862_Ki,633,161,v6,192,TabPFN-MLX,0.7059105268224966,0.7306586849909038,0.6877275437155842,5.675409317016602
CHEMBL1871_Ki,525,134,v3,64,TabPFN-MLX,0.6428644070139199,0.8970968776152305,0.5389328399849574,2.0619089603424072
CHEMBL1871_Ki,525,134,v3,96,TabPFN-MLX,0.6227878522421995,0.8649613270355796,0.5242437444831216,2.793581962585449
CHEMBL1871_Ki,525,134,v3,128,TabPFN-MLX,0.6196539643062887,0.8629137871026646,0.5204096660443484,3.433238983154297
CHEMBL1871_Ki,525,134,v3,160,TabPFN-MLX,0.6096352974947086,0.8471281454526908,0.5129476743581257,4.131501913070679
CHEMBL1871_Ki,525,134,v3,192,TabPFN-MLX,0.6091563737376278,0.8409725676064308,0.515372127601748,4.628097057342529
CHEMBL1871_Ki,525,134,v4,64,TabPFN-MLX,0.6520516204028738,0.9006772526361984,0.5514146395893876,2.1023011207580566
CHEMBL1871_Ki,525,134,v4,96,TabPFN-MLX,0.6310281675357253,0.8882653952117168,0.5249635172838096,2.7659988403320312
CHEMBL1871_Ki,525,134,v4,128,TabPFN-MLX,0.6172529499745165,0.8751945279370507,0.5101255994763786,3.359143018722534
CHEMBL1871_Ki,525,134,v4,160,TabPFN-MLX,0.6225050959321065,0.8506842467719699,0.5310870369433337,4.100975751876831
CHEMBL1871_Ki,525,134,v4,192,TabPFN-MLX,0.6188517477205169,0.8252995712960471,0.5379988362732252,4.782968997955322
CHEMBL1871_Ki,525,134,v5,64,TabPFN-MLX,0.6458856397386975,0.8931728526937681,0.5456808676853476,2.1477208137512207
CHEMBL1871_Ki,525,134,v5,96,TabPFN-MLX,0.6325013372912236,0.8726165530226672,0.5354222938103359,2.897692918777466
CHEMBL1871_Ki,525,134,v5,128,TabPFN-MLX,0.6357148804784292,0.8739502945455612,0.5397223980724951,3.3852310180664062
CHEMBL1871_Ki,525,134,v5,160,TabPFN-MLX,0.6286850771365725,0.8662923024184866,0.5327327456031917,4.175396203994751
CHEMBL1871_Ki,525,134,v5,192,TabPFN-MLX,0.6238190938717468,0.8575454657598843,0.5296487799701811,4.897544860839844
CHEMBL1871_Ki,525,134,v6,64,TabPFN-MLX,0.6380322254227823,0.8957306263324656,0.5320580451928504,2.1229357719421387
CHEMBL1871_Ki,525,134,v6,96,TabPFN-MLX,0.6332422610313387,0.8924829611767979,0.5262203825728151,2.892645835876465
CHEMBL1871_Ki,525,134,v6,128,TabPFN-MLX,0.6246456810835131,0.8691583867347679,0.5249692510501076,3.503471851348877
CHEMBL1871_Ki,525,134,v6,160,TabPFN-MLX,0.6237712463934393,0.8573670945448919,0.5296653787950559,4.243898153305054
CHEMBL1871_Ki,525,134,v6,192,TabPFN-MLX,0.6186247400208885,0.851537056639051,0.5246628325743143,4.927770137786865
CHEMBL2034_Ki,598,152,v3,64,TabPFN-MLX,0.6801446495407686,0.8469916696172587,0.5745447751368109,2.401937961578369
CHEMBL2034_Ki,598,152,v3,96,TabPFN-MLX,0.6835714282069851,0.8617118620748522,0.5693203905969868,3.355649948120117
CHEMBL2034_Ki,598,152,v3,128,TabPFN-MLX,0.6707153070373281,0.8512902830902229,0.554025469864124,4.23197078704834
CHEMBL2034_Ki,598,152,v3,160,TabPFN-MLX,0.7007915134592688,0.8703065745290668,0.5938181085172127,5.041363954544067
CHEMBL2034_Ki,598,152,v3,192,TabPFN-MLX,0.682938441483533,0.8482830349588437,0.5785773801329284,5.847137212753296
CHEMBL2034_Ki,598,152,v4,64,TabPFN-MLX,0.6826699472538843,0.8581487750422454,0.5704735306492736,2.5085439682006836
CHEMBL2034_Ki,598,152,v4,96,TabPFN-MLX,0.6764626788356233,0.8399419327942593,0.5733178525828895,3.5322039127349854
CHEMBL2034_Ki,598,152,v4,128,TabPFN-MLX,0.6647495530275103,0.8463547378929362,0.5469838170372286,4.38822078704834
CHEMBL2034_Ki,598,152,v4,160,TabPFN-MLX,0.6909507069733777,0.868378208383454,0.5775340384818575,5.2596518993377686
CHEMBL2034_Ki,598,152,v4,192,TabPFN-MLX,0.686111804305004,0.8428909025404832,0.5883003150717984,6.247023105621338
CHEMBL2034_Ki,598,152,v5,64,TabPFN-MLX,0.670647120150955,0.8391068885470458,0.5634842315099056,2.775897741317749
CHEMBL2034_Ki,598,152,v5,96,TabPFN-MLX,0.6686141482185928,0.8304359293182326,0.5664836962139086,3.810966730117798
CHEMBL2034_Ki,598,152,v5,128,TabPFN-MLX,0.6717397642431199,0.8479219011587271,0.5585793980175225,4.605402708053589
