benchmark,n_train,n_test,weight,pca_dim,model,overall_rmse,cliff_rmse,noncliff_rmse,time_s
CHEMBL1871_Ki,525,134,v3,128,TabICL-MLX,0.6238167529422188,0.8704366900117806,0.5230062615692622,1.1862502098083496
CHEMBL1871_Ki,525,134,v3,160,TabICL-MLX,0.620823183446093,0.8607977101124472,0.5233315317868044,1.4054930210113525
CHEMBL1871_Ki,525,134,v3,192,TabICL-MLX,0.6216666979785465,0.8599511036168728,0.5250807915693495,1.7040081024169922
CHEMBL1871_Ki,525,134,v4,96,TabICL-MLX,0.61202242001749,0.8458692990879421,0.5173152615956355,0.913336992263794
CHEMBL1871_Ki,525,134,v4,128,TabICL-MLX,0.616989828396858,0.8503025778598464,0.5227582994401525,1.1571519374847412
CHEMBL1871_Ki,525,134,v4,160,TabICL-MLX,0.6185604710695483,0.8415713262537801,0.5295848274309926,1.4134421348571777
CHEMBL1871_Ki,525,134,v4,192,TabICL-MLX,0.6109728039543657,0.8344532633448188,0.5214851465112358,1.7067208290100098
CHEMBL1871_Ki,525,134,v5,96,TabICL-MLX,0.6025166808783123,0.8298926292048906,0.5107321802037798,0.9220302104949951
CHEMBL1871_Ki,525,134,v5,128,TabICL-MLX,0.6117787269625606,0.8465921429316133,0.516565101649292,1.1625769138336182
CHEMBL1871_Ki,525,134,v5,160,TabICL-MLX,0.6113642965224899,0.8482077074871393,0.5150869047115885,1.4164471626281738
CHEMBL1871_Ki,525,134,v5,192,TabICL-MLX,0.6056687055629381,0.8546682296337926,0.5027491865962432,1.6934258937835693
CHEMBL1871_Ki,525,134,v6,96,TabICL-MLX,0.6057116605722345,0.8424590088921319,0.509240299973316,0.9139690399169922
CHEMBL1871_Ki,525,134,v6,128,TabICL-MLX,0.615089326744647,0.8585019965951194,0.5155622559721534,1.1815719604492188
CHEMBL1871_Ki,525,134,v6,160,TabICL-MLX,0.6003315953042971,0.8403821771744469,0.5018943128753459,1.4151628017425537
CHEMBL1871_Ki,525,134,v6,192,TabICL-MLX,0.5958567937042555,0.8375829029329476,0.49632595665240536,1.7160069942474365
CHEMBL2034_Ki,598,152,v3,96,TabICL-MLX,0.6380412636943728,0.7759419746285269,0.5529034628892991,0.9775211811065674
CHEMBL2034_Ki,598,152,v3,128,TabICL-MLX,0.6404776985341809,0.8067728077466401,0.5339128849643231,1.2754361629486084
CHEMBL2034_Ki,598,152,v3,160,TabICL-MLX,0.6477578519450534,0.798172474153454,0.553620776820316,1.5288350582122803
CHEMBL2034_Ki,598,152,v3,192,TabICL-MLX,0.656281129916131,0.8075034489277506,0.5617823526295552,1.8847160339355469
CHEMBL2034_Ki,598,152,v4,96,TabICL-MLX,0.6308570838154384,0.7856840570629444,0.5328554130567761,1.0068070888519287
CHEMBL2034_Ki,598,152,v4,128,TabICL-MLX,0.623539792419261,0.7873664606493982,0.5182730561909118,1.265221118927002
CHEMBL2034_Ki,598,152,v4,160,TabICL-MLX,0.6645400181668816,0.8237560112231692,0.5642640480233057,1.5397319793701172
CHEMBL2034_Ki,598,152,v4,192,TabICL-MLX,0.6578164478826869,0.8203635063662417,0.5547793674955981,1.9099531173706055
CHEMBL2034_Ki,598,152,v5,96,TabICL-MLX,0.635436727384321,0.7925583477382278,0.5358246297955074,1.0081439018249512
CHEMBL2034_Ki,598,152,v5,128,TabICL-MLX,0.637939196183992,0.7984687351156486,0.5357813560416761,1.2836968898773193
CHEMBL2034_Ki,598,152,v5,160,TabICL-MLX,0.651383567043635,0.8166368514736237,0.5460321470777327,1.5830299854278564
CHEMBL2034_Ki,598,152,v5,192,TabICL-MLX,0.652623145296084,0.8079510405810384,0.5549285526080628,1.9593231678009033
CHEMBL2034_Ki,598,152,v6,96,TabICL-MLX,0.6478679407652591,0.7999845682086301,0.5524552789773377,0.9703350067138672
CHEMBL2034_Ki,598,152,v6,128,TabICL-MLX,0.6365721832272997,0.7931874166327341,0.537386874559083,1.3264491558074951
CHEMBL2034_Ki,598,152,v6,160,TabICL-MLX,0.6473068122904864,0.8216896123629007,0.5346016341912623,1.6173250675201416
CHEMBL2034_Ki,598,152,v6,192,TabICL-MLX,0.6341216356536752,0.7898129586425763,0.5355644061824457,1.961493968963623
CHEMBL2047_EC50,503,128,v3,96,TabICL-MLX,0.5851496167691874,0.6555762919978062,0.5351514885683625,0.8717920780181885
CHEMBL2047_EC50,503,128,v3,128,TabICL-MLX,0.5910842180000302,0.6428233783044396,0.5553887461202438,1.163465976715088
CHEMBL2047_EC50,503,128,v3,160,TabICL-MLX,0.582992809108992,0.6218029267991596,0.5566932251823103,1.434629201889038
CHEMBL2047_EC50,503,128,v3,192,TabICL-MLX,0.5794820066559923,0.6171559434380336,0.5539861193753055,1.7237110137939453
CHEMBL2047_EC50,503,128,v4,96,TabICL-MLX,0.5929123842893869,0.6617562806927031,0.5442202299647179,0.88344407081604
CHEMBL2047_EC50,503,128,v4,128,TabICL-MLX,0.5926037314508317,0.624323908383211,0.5713448000070285,1.1806049346923828
CHEMBL2047_EC50,503,128,v4,160,TabICL-MLX,0.5930481326075178,0.6434326056080736,0.5583641273869535,1.6034612655639648
CHEMBL2047_EC50,503,128,v4,192,TabICL-MLX,0.5919511549877722,0.6552957909035991,0.5475043626289219,1.8132359981536865
CHEMBL2047_EC50,503,128,v5,96,TabICL-MLX,0.5952393524406417,0.6537477608855726,0.5544963292326303,0.8866250514984131
CHEMBL2047_EC50,503,128,v5,128,TabICL-MLX,0.582417072197027,0.6159157990804054,0.5598903360023015,1.2323379516601562
CHEMBL2047_EC50,503,128,v5,160,TabICL-MLX,0.5851679007537933,0.6232394216889136,0.559401934524017,1.4831199645996094
CHEMBL2047_EC50,503,128,v5,192,TabICL-MLX,0.592393329047816,0.6309166046733403,0.5663222415053806,1.7745769023895264
CHEMBL2047_EC50,503,128,v6,96,TabICL-MLX,0.5891890776857809,0.6440899580905473,0.5511271155098942,0.9166879653930664
CHEMBL2047_EC50,503,128,v6,128,TabICL-MLX,0.6008605329288866,0.6529677598758155,0.5649361836844006,1.3045399188995361
CHEMBL2047_EC50,503,128,v6,160,TabICL-MLX,0.6023921447391193,0.65379227496088,0.5669977979549995,1.58719801902771
CHEMBL2047_EC50,503,128,v6,192,TabICL-MLX,0.5966942218814653,0.6413312600981946,0.5662328783608825,1.8537631034851074
CHEMBL204_Ki,2201,553,v3,96,TabICL-MLX,0.6721111813983988,0.8218546948263492,0.551303832048812,3.544390916824341
CHEMBL204_Ki,2201,553,v3,128,TabICL-MLX,0.673226461069143,0.8210627077225373,0.554334904533533,4.7441086769104
CHEMBL204_Ki,2201,553,v3,160,TabICL-MLX,0.6784844548912099,0.8293218061784732,0.556852574737137,5.918116092681885
CHEMBL204_Ki,2201,553,v3,192,TabICL-MLX,0.6864347658371207,0.8482317399258381,0.5542091402350483,7.598220109939575
CHEMBL204_Ki,2201,553,v4,96,TabICL-MLX,0.6723883464188587,0.8244368278217851,0.5493144531215277,3.715881824493408
CHEMBL204_Ki,2201,553,v4,128,TabICL-MLX,0.6892893004906497,0.8557664884360117,0.5524371530855645,4.98925518989563
CHEMBL204_Ki,2201,553,v4,160,TabICL-MLX,0.6735378801274983,0.8271816566759531,0.5489267823950408,6.19744086265564
CHEMBL204_Ki,2201,553,v4,192,TabICL-MLX,0.6855699801559019,0.84783416849716,0.5528316883921002,7.579701900482178
CHEMBL204_Ki,2201,553,v5,96,TabICL-MLX,0.6629499877533227,0.8280945538376159,0.5261396719657956,4.183851003646851
CHEMBL204_Ki,2201,553,v5,128,TabICL-MLX,0.6738192792671196,0.8320900623149418,0.5445820285321311,5.200699806213379
CHEMBL204_Ki,2201,553,v5,160,TabICL-MLX,0.6731747763106599,0.8382351396007415,0.5369792988798889,6.344510078430176
CHEMBL204_Ki,2201,553,v5,192,TabICL-MLX,0.6912537746084949,0.842678802941042,0.5695403895017622,7.687005043029785
CHEMBL204_Ki,2201,553,v6,96,TabICL-MLX,0.6722529701048133,0.829143581516304,0.5443364214886449,3.8634350299835205
CHEMBL204_Ki,2201,553,v6,128,TabICL-MLX,0.6699589755180971,0.8286951729315462,0.5400741041517463,5.1309919357299805
CHEMBL204_Ki,2201,553,v6,160,TabICL-MLX,0.6735072380829603,0.840335400412243,0.5355008262018834,6.237939119338989
CHEMBL204_Ki,2201,553,v6,192,TabICL-MLX,0.6828249286419589,0.8409808246023125,0.554104108673474,7.546438217163086
CHEMBL2147_Ki,1162,294,v3,96,TabICL-MLX,0.5286442861550026,0.575762975394978,0.4955322361852274,2.0842740535736084
CHEMBL2147_Ki,1162,294,v3,128,TabICL-MLX,0.5293722908374051,0.5888985646050777,0.48667714414139424,2.70963191986084
CHEMBL2147_Ki,1162,294,v3,160,TabICL-MLX,0.5340331886154079,0.5899832604749136,0.4941737650135777,3.3558661937713623
CHEMBL2147_Ki,1162,294,v3,192,TabICL-MLX,0.5421389544298243,0.5957135559169368,0.5041704594125298,4.0322630405426025
CHEMBL2147_Ki,1162,294,v4,96,TabICL-MLX,0.5262691144575266,0.5805753124891796,0.4876343982008922,2.0793087482452393
CHEMBL2147_Ki,1162,294,v4,128,TabICL-MLX,0.524977312278987,0.5859623967285508,0.48109146020981797,2.7131810188293457
CHEMBL2147_Ki,1162,294,v4,160,TabICL-MLX,0.5278657096119329,0.5906199722479715,0.48259776688840444,3.2999069690704346
CHEMBL2147_Ki,1162,294,v4,192,TabICL-MLX,0.524065921524334,0.5980908179007719,0.4695862146027973,4.035043001174927
CHEMBL2147_Ki,1162,294,v5,96,TabICL-MLX,0.5241881724051168,0.5767436407190886,0.486895004860449,2.0476300716400146
CHEMBL2147_Ki,1162,294,v5,128,TabICL-MLX,0.5173079739306139,0.5769814703195698,0.47439691317058197,2.730172872543335
CHEMBL2147_Ki,1162,294,v5,160,TabICL-MLX,0.5324883053619242,0.5917044085791131,0.49006215144133947,3.2753467559814453
CHEMBL2147_Ki,1162,294,v5,192,TabICL-MLX,0.5282895401826282,0.5939512162823029,0.48069568640057303,4.00765323638916
CHEMBL2147_Ki,1162,294,v6,96,TabICL-MLX,0.5254749670009711,0.579146899656718,0.48732670369228875,2.0287671089172363
